SURAH	LATIN	TRANSLITERATE	TRANSLATE	TYPE	AYAHS
1	Al-Fātiḥah	AlfAtHp	Pembukaan	mkyp	7
2	Al-Baqarah	Albqrp	Sapi	mdnyp	286
3	Āli 'Imrān	A`l EmrAn	Keluarga Imran	mdnyp	200
4	An-Nisā'	AlnsA^'	Wanita	mdnyp	176
5	Al-Mā'idah	AlmA^}dp	Hidangan	mdnyp	120
6	Al-An'ām	AlAnEAm	Binatang Ternak	mkyp	165
7	Al-A'rāf	AlAErAf	Tempat Tertinggi	mkyp	206
8	Al-Anfāl	AlAnfAl	Rampasan Perang	mdnyp	75
9	At-Taubah	Altwbp	Pengampunan	mdnyp	129
10	Yūnus	ywns	Yunus	mkyp	109
11	Hūd	hwd	Hud	mkyp	123
12	Yūsuf	ywsf	Yusuf	mkyp	111
13	Ar-Ra'd	Alr~Ed	Guruh	mkyp	43
14	Ibrāhīm	Abr`hym	Ibrahim	mkyp	52
15	Al-Ḥijr	AlHjr	Hijr	mkyp	99
16	An-Naḥl	AlnHl	Lebah	mkyp	128
17	Al-Isrā'	AlAsrA^'	Memperjalankan Malam Hari	mkyp	111
18	Al-Kahf	Alkhf	Gua	mkyp	110
19	Maryam	mrym	Maryam	mkyp	98
20	Ṭāhā	T`h`	Taha	mkyp	135
21	Al-Anbiyā'	AlAnbyA^'	Para Nabi	mkyp	112
22	Al-Ḥajj	AlHj	Haji	mdnyp	78
23	Al-Mu'minūn	Alm&mnwn	Orang-Orang Mukmin	mkyp	118
24	An-Nūr	Aln~wr	Cahaya	mdnyp	64
25	Al-Furqān	AlfrqAn	Pembeda	mkyp	77
26	Asy-Syu'arā'	Al$ErA^'	Para Penyair	mkyp	227
27	An-Naml	Alnml	Semut	mkyp	93
28	Al-Qaṣaṣ	AlqSS	Kisah	mkyp	88
29	Al-'Ankabūt	AlEnkbwt	Laba-Laba	mkyp	69
30	Ar-Rūm	Alr~wm	Romawi	mkyp	60
31	Luqmān	lqm`n	Luqman	mkyp	34
32	As-Sajdah	Als~jdp	Sajdah	mkyp	30
33	Al-Aḥzāb	AlAHzAb	Golongan Yang Bersekutu	mdnyp	73
34	Saba'	sb>	Saba'	mkyp	54
35	Fāṭir	fATr	Maha Pencipta	mkyp	45
36	Yāsīn	y`s^	Yasin	mkyp	83
37	Aṣ-Ṣāffāt	AlS~`^f~`t	Yang Berbaris-baris	mkyp	182
38	Ṣād	S	Sad	mkyp	88
39	Az-Zumar	Alzmr	Rombongan	mkyp	75
40	Gāfir	gAfr	Maha Pengampun	mkyp	85
41	Fuṣṣilat	fS~lt	Yang Dijelaskan	mkyp	54
42	Asy-Syūrā	Al$wrY	Musyawarah	mkyp	53
43	Az-Zukhruf	Alzxrf	Perhiasan	mkyp	89
44	Ad-Dukhān	AldxAn	Kabut	mkyp	59
45	Al-Jāṡiyah	AljAvyp	Berlutut	mkyp	37
46	Al-Aḥqāf	AlAHqAf	Bukit Pasir	mkyp	35
47	Muḥammad	mHm~d	Muhammad	mdnyp	38
48	Al-Fatḥ	AlftH	Kemenangan	mdnyp	29
49	Al-Ḥujurāt	AlHjr`t	Kamar-Kamar	mdnyp	18
50	Qāf	q	Qaf	mkyp	45
51	Aż-Żāriyāt	Al*~`ry`t	Angin yang Menerbangkan	mkyp	60
52	At-Ṭūr	AlTwr	Bukit Tursina	mkyp	49
53	An-Najm	Alnjm	Bintang	mkyp	62
54	Al-Qamar	Alqmr	Bulan	mkyp	55
